"Carimbo de data/hora","Idade:","Curso:","Semestre atual:","Turno:","Quantas horas você dorme por dia, em média?","Quantas horas você estuda por dia, em média:?","Tem o costume de estudar aos fins de semana?","Onde você estuda com mais frequência?","De 0 a 5, como você avalia sua produtividade acadêmica? ","Quantas horas por dia você usa redes sociais?  ","Você trabalha além de estudar?","Qual é sua principal dificuldade nos estudos?  ","  Você consome caféina?  ","  Quantas Litros de água você consome no dia?  "
"2026/03/24 1:20:27 PM GMT-3","26","Letras","8","Matutino","05:00","04:00","Não","Faculdade","Bom","04:00","Sim","Encontrar tempo livre ","Não","2L a 3L"
"2026/03/24 1:21:11 PM GMT-3","21","CC","5","Noturno","08:30","05:00","Sim","Faculdade","Normal","02:00","Não","TDAH","Sim","2L a 3L"
"2026/03/24 1:23:06 PM GMT-3","20","EC","5","Matutino","06:30","03:30","Sim","Em casa","Ruim","02:00","Sim","Distração","Sim","1L a 2L"
"2026/03/24 1:31:12 PM GMT-3","45","Corte e costura","4","Noturno","07:25","03:33","Sim","Faculdade","Normal","06:29","Sim","Estudar","Sim","Mais que 4L"
"2026/03/24 1:31:27 PM GMT-3","21","BCC","5","Noturno","06:00","03:00","Sim","Outros","Normal","01:00","Sim","Tempo","Não","1L a 2L"
"2026/03/24 3:46:28 PM GMT-3","22","ADS","4","Integral","08:00","02:00","Sim","Casa","Normal","00:00","Sim","Focar","Sim","3L a 4L"
"2026/03/24 3:49:48 PM GMT-3","21","Gestão de TI.","4","Integral","08:00","02:00","Não","Outros","Ruim","05:00","Sim","Concentração ","Sim","1L a 2L"
"2026/03/24 3:51:28 PM GMT-3","21","Veterinaria ","9","Noturno","08:00","02:00","Sim","Casa;Biblioteca","Bom","01:00","Sim","Falta de tempo ","Não","Mais que 4L"
"2026/03/24 5:28:08 PM GMT-3","24","Business ","2","Matutino","07:00","01:00","Não","Biblioteca","Normal","03:00","Sim","Tempo","Sim","Mais que 4L"
"2026/03/24 6:32:51 PM GMT-3","20","Ciências da computação ","5","Noturno","06:30","08:00","Não","Casa;Biblioteca;Faculdade","Bom","01:00","Sim","Foco ","Sim","3L a 4L"